Timestamp,isLeftGazeValid, isRightGazeValid,leftGazePosX,leftGazePosY,leftGazePosZ,leftGazeRotX,leftGazeRotY,leftGazeRotZ,leftGazeRotW,rightGazePosX,rightGazePosY,rightGazePosZ,rightGazeRotX,rightGazeRotY,rightGazeRotZ,rightGazeRotW,isLeftPupilDiameterValid, isRightPupilDiameterValid,leftPupilDiameter,rightPupilDiameter,isLeftPupilPositionValid, isLRightPupilPositionValidleftPupilPositionX,leftPupilPositionY,rightPupilPositionX,rightPupilPositionY,isleftGeometricValid,isRightGeometricValid,leftOpenness,rightOpenness,leftWide,rightWide,leftSqueeze,rightSqueeze,headPosX,headPosY,headPosZ,headRotX,headRotY,headRotZ,headRotW
2025-06-20 13:33:31.376,1,1,-1.151509,0.5790461,2.41768,0.08193305,-0.003742466,-0.06297596,-0.9946392,-1.087631,0.5872222,2.4167080.08288881,-0.01977853,-0.06356101,-0.9943331,1,1,6.353481,6.646739,1,1,0.4914428,0.4641632,0.5204154,0.4715521,1,1,0.9999999,0.9999999,0,0,0,0,-1.119863,0.5834197,-2.433416,0.02192443,0.002012971,0.06286339,0.9977793
2025-06-20 13:33:31.387,1,1,-1.151441,0.5790724,2.417581,0.08209999,-0.00393825,-0.062826,-0.9946341,-1.087561,0.5872267,2.4165750.08305322,-0.01997465,-0.06340902,-0.9943252,1,1,6.354856,6.648226,1,1,0.4914428,0.4641632,0.520829,0.4716093,1,1,0.9999999,0.9999999,0,0,0,0,-1.119765,0.5834477,-2.43328,0.02209819,0.001706574,0.06269024,0.9977869
2025-06-20 13:33:31.397,1,1,-1.151322,0.5791089,2.417491,0.08232618,-0.004081883,-0.06250018,-0.9946354,-1.087437,0.5872194,2.4164550.08327425,-0.02011887,-0.06308099,-0.9943247,1,1,6.332568,6.645189,1,1,0.4915801,0.4643974,0.5214475,0.4715948,1,1,0.9999999,0.9999999,0,0,0,0,-1.119658,0.5834671,-2.433192,0.02225677,0.001510329,0.0624221,0.9978005
2025-06-20 13:33:31.407,1,1,-1.151218,0.5791263,2.417419,0.08250432,-0.004177103,-0.06210454,-0.994645,-1.087327,0.5871846,2.4163620.08344617,-0.02021472,-0.06268285,-0.9943336,1,1,6.323701,6.64313,1,1,0.4923975,0.4643902,0.5214475,0.4715948,1,1,0.9999999,0.9999999,0,0,0,0,-1.119525,0.5834667,-2.433093,0.02246975,0.001320781,0.06195456,0.9978251
2025-06-20 13:33:31.419,1,1,-1.151088,0.5791226,2.41733,0.08267832,-0.004379752,-0.06153658,-0.994665,-1.087188,0.5871062,2.4162520.08361076,-0.02041803,-0.06211032,-0.9943514,1,1,6.317595,6.644222,1,1,0.4923975,0.4643902,0.5215836,0.4712988,1,1,0.9999999,0.9999999,0,0,0,0,-1.11941,0.5834404,-2.43301,0.02266601,0.001184043,0.06148383,0.99785
2025-06-20 13:33:31.431,1,1,-1.15093,0.5790976,2.417284,0.08284196,-0.00463774,-0.06093615,-0.9946872,-1.08702,0.5870015,2.4161770.08376455,-0.0206768,-0.06150343,-0.9943709,1,1,6.309993,6.647363,1,1,0.4923173,0.4643135,0.5216559,0.4710159,1,1,0.9999999,0.9999999,0,0,0,0,-1.119242,0.583392,-2.432951,0.02294631,0.0009773573,0.06086729,0.9978816
2025-06-20 13:33:31.441,1,1,-1.150788,0.5790364,2.417187,0.08308823,-0.004977255,-0.06038589,-0.9946985,-1.08687,0.5868659,2.4160330.08400173,-0.02101712,-0.06094603,-0.994378,1,1,6.301274,6.650373,1,1,0.492633,0.4638687,0.5216559,0.4710159,1,1,0.9999999,0.9999999,0,0,0,0,-1.119086,0.5833086,-2.432833,0.02328989,0.0006465759,0.06028945,0.997909
2025-06-20 13:33:31.453,1,1,-1.150659,0.5789732,2.417101,0.08329532,-0.005396146,-0.05998062,-0.9947035,-1.086735,0.5867462,2.4158920.08420187,-0.02143665,-0.06053219,-0.9943775,1,1,6.294033,6.644107,1,1,0.492633,0.4638687,0.5210521,0.4709201,1,1,0.9999999,0.9999999,0,0,0,0,-1.118915,0.583215,-2.432699,0.02373241,0.0001645485,0.05977503,0.9979297
2025-06-20 13:33:31.467,1,1,-1.150478,0.5789058,2.416954,0.08362648,-0.006014796,-0.05947287,-0.9947027,-1.086547,0.5866064,2.4156570.08452452,-0.02205632,-0.06000926,-0.9943683,1,1,6.275446,6.603857,1,1,0.4924155,0.4629839,0.5201703,0.4703802,1,1,0.9999999,0.9999999,0,0,0,0,-1.118779,0.5831692,-2.432556,0.02417671,-0.0003024341,0.05938849,0.9979421
2025-06-20 13:33:31.474,1,1,-1.150339,0.5788321,2.416884,0.08390809,-0.006308847,-0.05918425,-0.9946945,-1.086404,0.5864918,2.4155370.0848016,-0.02235111,-0.0597103,-0.9943561,1,1,6.256042,6.575069,1,1,0.492198,0.4623061,0.5201703,0.4703802,1,1,0.9999999,0.9999999,0,0,0,0,-1.118558,0.5830559,-2.432411,0.02485615,-0.0008629535,0.05893617,0.9979519
